id_num,tender_id,tender_link,legal_entity,tender_title,purchase_stage,published_date,submission_deadline,purchase_class,initial_max_price,tektorg_link
601099,1256-20-ФХД-11,http://zakupki.rosneft.ru/node/601099,"ЗАО ""Ижевский нефтяной научный центр""",Оказание услуг по проведению ТО и ремонта лабораторного оборудования,Запрос цен,11.11.2020 - 18:30,25.11.2020 - 15:00,прочие услуги,1 261 935.97 руб.,https://rn.tektorg.ru/
601101,601101,http://zakupki.rosneft.ru/node/601101,"ПАО ""НК ""Роснефть"" (ЦА)",Загущающие присадки для моторных и гидравлических масел на 2021 год,Запрос оферт,11.11.2020 - 19:23,25.11.2020 - 18:00,поставка материально-технических ресурсов,Не публикуемые,
601103,601103,http://zakupki.rosneft.ru/node/601103,ООО ИК «СИБИНТЕК»,Закупка АКБ для МРЦ,Запрос цен,11.11.2020 - 20:21,26.11.2020 - 23:00,поставка материально-технических ресурсов,Не публикуется,Not specified
601105,601105,http://zakupki.rosneft.ru/node/601105,"ПАО ""НК ""Роснефть"" (ЦА)",Выполнение работ по строительству разведочной скважины № Р-118 на СБНГКМ под ключ,Запрос оферт,11.11.2020 - 22:14,02.12.2020 - 19:00,строительно-монтажные работы,0.00 руб.,
601111,200979,http://zakupki.rosneft.ru/node/601111,АО «Ачинский нефтеперерабатывающий завод ВНК»,Трубы металлические,Запрос оферт,12.11.2020 - 07:08,26.11.2020 - 17:30,поставка материально-технических ресурсов,Не публикуется,http://rn.tektorg.ru
600419,600419,http://zakupki.rosneft.ru/node/600419,"ООО ""РН-Сервис""","Оказание услуг  по прокату инструмента при ремонте скважин для нужд филиала ООО ""РН-Сервис"" в г.Краснодар в 2021 году",Запрос оферт,09.11.2020 - 14:47,30.11.2020 - 13:00,прочие услуги,0.00 руб.,Not specified
601113,2000342496,http://zakupki.rosneft.ru/node/601113,"ООО ""РН-Юганскнефтегаз""","Выполнение работ по капитальному ремонту емкостей запаса воды ООО ""РН-Юганскнефтегаз""",Запрос оферт,12.11.2020 - 07:15,26.11.2020 - 16:00,нефтепромысловые услуги,1 062 287.21 руб.,Not specified
601117,2000351057,http://zakupki.rosneft.ru/node/601117,"ООО ""РН-Юганскнефтегаз""",Оказание услуг по обеспечению переправы через протоку Малый Салым в районе куста 171 Приобского месторождения,Запрос оферт,12.11.2020 - 07:43,26.11.2020 - 16:00,транспортные услуги,0.00 руб.,Not specified
601121,2000357454,http://zakupki.rosneft.ru/node/601121,"ООО ""РН-Юганскнефтегаз""","Выполнение работ по оформлению актов натурного технического обследования лесных участков; исключению вида использования лесов «заготовка древесины» и «строительство, реконструкция, эксплуатация линейных объектов»; оформлению проектов рекультивации и проектов освоения лесов с получением положительного заключения государственной экспертизы под объектами ПАО «НК «Роснефть», расположенными на территории Ханты-Мансийского АО-Югры,  Нефтеюганского лесничества, Юнг-Яхского и Куть-Яхского участковых лесничеств",Запрос оферт,12.11.2020 - 08:04,26.11.2020 - 16:00,строительно-монтажные работы,0.00 руб.,Not specified
601123,2000362659,http://zakupki.rosneft.ru/node/601123,"ООО ""РН-Морской терминал Находка""",Поставка трубной продукции_2021,Запрос оферт,12.11.2020 - 08:14,03.12.2020 - 16:59,поставка материально-технических ресурсов,4 617 954.06 руб.,Not specified
601125,601125,http://zakupki.rosneft.ru/node/601125,"АО ""РН-Няганьнефтегаз""",Выполнение работ по гидравлическому разрыву пласта при строительстве разведочных скважин Назымского месторождения Назымского ЛУ,Запрос цен,12.11.2020 - 08:14,25.11.2020 - 13:00,прочие услуги,0.00 руб.,Not specified
601173,ИНП/2020-273,http://zakupki.rosneft.ru/node/601173,АО «Иркутскнефтепродукт»,Оказание услуг по проведению периодического и предварительного медицинского осмотра работников,Запрос цен,12.11.2020 - 09:55,26.11.2020 - 15:00,прочие услуги,"2 800 964,00 рублей без НДС",Not specified
601187,601187,http://zakupki.rosneft.ru/node/601187,"ПАО ""НК ""Роснефть"" (ЦА)","Выполнение работ по строительству разведочных/поисково-оценочных скважин (генеральный подряд) для нужд АО ""РН-Няганьнефтегаз""",Запрос оферт,12.11.2020 - 10:45,27.11.2020 - 19:00,прочие услуги,922 139 333.48 руб.,
